Code,Ward name,Borough name,shape,Values
E05000529,South Twickenham,Richmond upon Thames,Freeform_406,172.7
E05000530,Teddington,Richmond upon Thames,Freeform_392,429.6
E05000531,Twickenham Riverside,Richmond upon Thames,Freeform_395,196.4
E05000532,West Twickenham,Richmond upon Thames,Freeform_403,245.9
E05000533,Whitton,Richmond upon Thames,Freeform_404,162.6
E05000534,Brunswick Park,Southwark,Freeform_241,93.4
E05000535,Camberwell Green,Southwark,Freeform_240,97.5
E05000536,Cathedrals,Southwark,Freeform_250,176.8
E05000537,Chaucer,Southwark,Freeform_254,82
E05000538,College,Southwark,Freeform_234,323.3
E05000539,East Dulwich,Southwark,Freeform_238,102.1
E05000540,East Walworth,Southwark,Freeform_247,114.7
E05000541,Faraday,Southwark,Freeform_246,87.8
E05000542,Grange,Southwark,Freeform_251,121.5
E05000543,Livesey,Southwark,Freeform_248,143.8
E05000544,Newington,Southwark,Freeform_245,83.4
E05000545,Nunhead,Southwark,Freeform_243,132.8
E05000546,Peckham,Southwark,Freeform_244,87
E05000547,Peckham Rye,Southwark,Freeform_239,225.2
E05000548,Riverside,Southwark,Freeform_235,132.8
E05000549,Rotherhithe,Southwark,Freeform_252,149.1
E05000550,South Bermondsey,Southwark,Freeform_249,97.4
E05000551,South Camberwell,Southwark,Freeform_237,133.1
E05000552,Surrey Docks,Southwark,Freeform_253,190.1
E05000553,The Lane,Southwark,Freeform_242,138.9
E05000554,Village,Southwark,Freeform_236,278.7
E05000555,Beddington North,Sutton,Freeform_390,498.8
E05000556,Beddington South,Sutton,Freeform_375,306.1
E05000557,Belmont,Sutton,Freeform_378,233.3
E05000558,Carshalton Central,Sutton,Freeform_384,202.4
E05000559,Carshalton South and Clockhouse,Sutton,Freeform_373,705.3
E05000560,Cheam,Sutton,Freeform_374,393
E05000561,Nonsuch,Sutton,Freeform_379,190.7
E05000562,St. Helier,Sutton,Freeform_376,149.7
E05000563,Stonecot,Sutton,Freeform_386,198.4
E05000564,Sutton Central,Sutton,Freeform_383,131
E05000565,Sutton North,Sutton,Freeform_385,187.4
E05000566,Sutton South,Sutton,Freeform_381,127.2
E05000567,Sutton West,Sutton,Freeform_382,178.2
E05000568,The Wrythe,Sutton,Freeform_387,148.4
E05000569,Wallington North,Sutton,Freeform_389,161.9
E05000570,Wallington South,Sutton,Freeform_388,171.8
E05000571,Wandle Valley,Sutton,Freeform_377,205.4
E05000572,Worcester Park,Sutton,Freeform_380,195.7
E05000573,Bethnal Green North,Tower Hamlets,Freeform_529,82.5
E05000574,Bethnal Green South,Tower Hamlets,Freeform_527,88.2
E05000575,Blackwall and Cubitt Town,Tower Hamlets,Freeform_523,296.7
E05000576,Bow East,Tower Hamlets,Freeform_535,186.6
E05000577,Bow West,Tower Hamlets,Freeform_534,134.3
E05000578,Bromley-by-Bow,Tower Hamlets,Freeform_533,107.1
E05000579,East India and Lansbury,Tower Hamlets,Freeform_532,122.3
E05000580,Limehouse,Tower Hamlets,Freeform_526,114.3
E05000581,Mile End and Globe Town,Tower Hamlets,Freeform_528,90
E05000582,Mile End East,Tower Hamlets,Freeform_531,107.1
E05000583,Millwall,Tower Hamlets,Freeform_522,245.8
E05000584,St. Dunstan's and Stepney Green,Tower Hamlets,Freeform_530,101.8
E05000585,St. Katharine's and Wapping,Tower Hamlets,Freeform_525,150.9
E05000586,Shadwell,Tower Hamlets,Freeform_524,96.2
E05000587,Spitalfields and Banglatown,Tower Hamlets,Freeform_537,63.8
E05000588,Weavers,Tower Hamlets,Freeform_538,77.6
E05000589,Whitechapel,Tower Hamlets,Freeform_536,92.1
E05000590,Cann Hall,Waltham Forest,Freeform_347,85.8
E05000591,Cathall,Waltham Forest,Freeform_337,105.7
E05000592,Chapel End,Waltham Forest,Freeform_345,185
E05000593,Chingford Green,Waltham Forest,Freeform_336,372.7
E05000594,Endlebury,Waltham Forest,Freeform_349,194.9
E05000595,Forest,Waltham Forest,Freeform_341,198.6
E05000596,Grove Green,Waltham Forest,Freeform_340,89.6
E05000597,Hale End and Highams Park,Waltham Forest,Freeform_346,234.7
E05000598,Hatch Lane,Waltham Forest,Freeform_350,241.6
E05000599,High Street,Waltham Forest,Freeform_333,305.9
E05000600,Higham Hill,Waltham Forest,Freeform_334,322.1
E05000601,Hoe Street,Waltham Forest,Freeform_343,110
E05000602,Larkswood,Waltham Forest,Freeform_348,206.6
E05000603,Lea Bridge,Waltham Forest,Freeform_338,264.7
E05000604,Leyton,Waltham Forest,Freeform_332,203.2
E05000605,Leytonstone,Waltham Forest,Freeform_351,130.6
E05000606,Markhouse,Waltham Forest,Freeform_339,145.7
E05000607,Valley,Waltham Forest,Freeform_335,198.5
E05000608,William Morris,Waltham Forest,Freeform_342,99.9
E05000609,Wood Street,Waltham Forest,Freeform_344,185
E05000610,Balham,Wandsworth,Freeform_443,121.2
E05000611,Bedford,Wandsworth,Freeform_442,180.5
E05000612,Earlsfield,Wandsworth,Freeform_439,140.3
E05000613,East Putney,Wandsworth,Freeform_435,161
E05000614,Fairfield,Wandsworth,Freeform_444,145.4
E05000615,Furzedown,Wandsworth,Freeform_441,141.5
E05000616,Graveney,Wandsworth,Freeform_436,101.1
E05000617,Latchmere,Wandsworth,Freeform_446,108.3
E05000618,Nightingale,Wandsworth,Freeform_440,123.2
E05000619,Northcote,Wandsworth,Freeform_445,167.5
E05000620,Queenstown,Wandsworth,Freeform_448,320.5
E05000621,Roehampton and Putney Heath,Wandsworth,Freeform_430,442.4
E05000622,St. Mary's Park,Wandsworth,Freeform_447,139.7
E05000623,Shaftesbury,Wandsworth,Freeform_449,94.8
E05000624,Southfields,Wandsworth,Freeform_438,152.5
E05000625,Thamesfield,Wandsworth,Freeform_431,192.2
E05000626,Tooting,Wandsworth,Freeform_437,160
E05000627,Wandsworth Common,Wandsworth,Freeform_432,276.5
E05000628,West Hill,Wandsworth,Freeform_433,168.6
E05000629,West Putney,Wandsworth,Freeform_434,184.8
E05000630,Abbey Road,Westminster,Freeform_494,109.5
E05000631,Bayswater,Westminster,Freeform_497,51.9
E05000632,Bryanston and Dorset Square,Westminster,Freeform_492,72.3
E05000633,Churchill,Westminster,Freeform_488,60.9
E05000634,Church Street,Westminster,Freeform_503,44.3
E05000635,Harrow Road,Westminster,Freeform_491,49.5
E05000636,Hyde Park,Westminster,Freeform_487,95.5
E05000637,Knightsbridge and Belgravia,Westminster,Freeform_486,359.4
E05000638,Lancaster Gate,Westminster,Freeform_485,63.1
E05000639,Little Venice,Westminster,Freeform_501,63.7
E05000640,Maida Vale,Westminster,Freeform_502,64.6
E05000641,Marylebone High Street,Westminster,Freeform_495,100.1
E05000642,Queen's Park,Westminster,Freeform_496,58.4
E05000643,Regent's Park,Westminster,Freeform_493,225.6
E05000644,St. James's,Westminster,Freeform_484,346.4
E05000645,Tachbrook,Westminster,Freeform_499,44.3
E05000646,Vincent Square,Westminster,Freeform_489,68.4
E05000647,Warwick,Westminster,Freeform_498,57.4
E05000648,Westbourne,Westminster,Freeform_500,67.6
E05000649,West End,Westminster,Freeform_490,200
